Date, Decription, Withdrawls, Deposits, Balance
2023-01-01,Opening Balance,,,1454.96
2023-01-01, BITTER END -LOSSE CANN HALIFAX NS, 61.87,,
2023-01-01, DOORDASH*A&W DOWNTOWN TOROON, 59.83,,
2023-01-01, BEYOND PHO HALIFAX NS, 19.68,,
2023-01-01, SHOPPERS DRUG MART #01 HALIFAX NS, 17.24,,
2023-01-02, CIRCLE K / IRVING #QPS207GREENWICH NS, 17.25,,
2023-01-02, TAN COFFEE WOLFVILLE NS, 6.22,,
2023-01-03, SHOPPERS DRUG MART #15 WOLFVILLE NS, 23.44,,
2023-01-03, SKI MARTOCK WINDSOR NS, 33.01,,
2023-01-03, CLEVE'S SPORTING GOODS #2DARTMOUTH NS, 77.00,,
2023-01-04, DOORDASH*MARY BROWNS DOWNTOWN TOROON, 23.75,,
2023-01-04, SHOPPERS DRUG MART #15 WOLFVILLE NS, 30.80,,
2023-01-04, NSLC #2574 NEW MINAS NS, 17.97,,
2023-01-05, DOORDASH*SWISS CHALET DOWNTOWN TOROON, 27.99,,
2023-01-06, DOORDASH*MARY BROWNS DOWNTOWN TOROON, 28.36,,
2023-01-06, SHOPPERS DRUG MART #15 WOLFVILLE NS, 15.86,,
2023-01-07, DOORDASH*MARY BROWNS DOWNTOWN TOROON, 29.08,,
2023-01-08, ROBIN'S STORE # 5164 NEW MINAS NS, 7.46,,
2023-01-08, PETROCAN-8981 COMMERCIAL NEW MINAS NS, 3.77,,
2023-01-09, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 5.51,,
2023-01-10, DOORDASH*MARY BROWNS DOWNTOWN TOROON, 23.75,,
2023-01-10, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 2.40,,
2023-01-11, WAYFARERS' ALE SOCIETY PORT WILLIAMSNS, 8.86,,
2023-01-12, PURCHASE INTEREST 19.99%, 22.62,,
2023-01-12, NSLC #2574 NEW MINAS NS, 17.97,,
2023-01-12, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 5.51,,
2023-01-12, WAYFARERS' ALE SOCIETY PORT WILLIAMSNS, 6.90,,
2023-01-13, DOORDASH*A&W CANADA DOWNTOWN TOROON, 23.77,,
2023-01-13, WAYFARERS' ALE SOCIETY PORT WILLIAMSNS, 3.45,,
2023-01-13, ELMER'S & JOE'S EMPORIUM WOLFVILLE NS, 52.42,,
2023-01-14, DOORDASH*MARY BROWNS DOWNTOWN TOROON, 30.17,,
2023-01-14, PETROCAN-8981 COMMERCIAL NEW MINAS NS, 3.08,,
2023-01-15, DOORDASH*BIG WEDGE DOWNTOWN TOROON, 25.08,,
2023-01-16, NSLC #2574 NEW MINAS NS, 17.97,,
2023-01-16, DOORDASH*BOSTON PIZZA DOWNTOWN TOROON, 54.95,,
2023-01-16, SHOPPERS DRUG MART #15 WOLFVILLE NS, 17.30,,
2023-01-16, ACADIA UNIVERSITY BOOK WOLFVILLE NS, 7.46,,
2023-01-17, CIRCLE K / IRVING #QPS207GREENWICH NS, 20.50,,
2023-01-17, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 8.00,,
2023-01-18, DOORDASH*MARY BROWNS DOWNTOWN TOROON, 30.29,,
2023-01-18, PAYMENT - THANK YOU / PAIEMENT - MERCI, , 2018.68,
2023-01-19, SOBEYS #747 NEW MINAS NS, 79.34,,
2023-01-19, GLOOSECAP FIRST NATION E HANTSPORT NS, 30.00,,
2023-01-20, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 2.50,,
2023-01-21, PETROCAN-8981 COMMERCIAL NEW MINAS NS, 5.26,,
2023-01-21, NSLC #2546 KENTVILLE NS, 10.57,,
2023-01-21, PETROCAN-8981 COMMERCIAL NEW MINAS NS, 3.42,,
2023-01-22, WAYFARERS' ALE SOCIETY PORT WILLIAMSNS, 5.75,,
2023-01-22, MARY BROWN'S #3056 NEW MINAS NS, 19.41,,
2023-01-22, PETROCAN-8981 COMMERCIAL NEW MINAS NS, 3.77,,
2023-01-22, PETROCAN-8981 COMMERCIAL NEW MINAS NS, 1.48,,
2023-01-22, PETROCAN-8981 COMMERCIAL NEW MINAS NS, 1.89,,
2023-01-23, CHARTWELLS-HUGGINS-77114 WOLFVILLE NS, 6.89,,
2023-01-24, NSLC #2574 NEW MINAS NS, 6.31,,
2023-01-24, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 3.42,,
2023-01-25, DOORDASH*MARY BROWNS DOWNTOWN TOROON, 30.27,,
2023-01-25, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 4.90,,
2023-01-26, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 8.58,,
2023-01-26, COFFEE ROASTERS WOLFVILLE NS, 5.46,,
2023-01-27, WAYFARERS' ALE SOCIETY PORT WILLIAMSNS, 10.35,,
2023-01-27, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 4.90,,
2023-01-27, SUBWAY 19457 WOLFVILLE NS, 14.27,,
2023-01-28, ROBIN'S STORE # 5164 NEW MINAS NS, 4.29,,
2023-01-28, WAYFARERS' ALE SOCIETY PORT WILLIAMSNS, 6.90,,
2023-01-28, WAYFARERS' ALE SOCIETY PORT WILLIAMSNS, 6.33,,
2023-01-28, NSLC #2574 NEW MINAS NS, 6.31,,
2023-01-29, CHARTS CAFE WOLFVILLE NS, 4.13,,
2023-01-29, SHOPPERS DRUG MART #15 WOLFVILLE NS, 11.92,,
2023-01-29, DOORDASH*MARY BROWNS DOWNTOWN TOROON, 32.11,,
2023-01-29, DOORDASH*MARY BROWNS DOWNTOWN TOROON, 32.11,,
2023-01-30, DOORDASH DASHPASS DOWNTOWN TOROON, 9.99,,
2023-01-30, NSLC #2574 NEW MINAS NS, 17.97,,
2023-01-30, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 5.74,,
2023-01-30, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 4.92,,
2023-01-30, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 4.90,,
2023-01-31, DOORDASH*BOSTON PIZZA DOWNTOWN TOROON, 63.94,,
2023-01-31, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 11.00,,
2023-01-31, CHARTWELLS-ACADIA-77112 WOLFVILLE NS, 5.74,,
2023-01-31, Closing Balance,,,